Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp(1)	cluster #(1)	timestamp(2)	cluster #(2)	timestamp(3)	cluster #(3)	timestamp(4)	cluster #(4)
																																	0:00:14.305	0	0:00:09.721	0	0:00:13.690	0	0:00:15.042	0
																																	0:00:14.436	0	0:00:09.759	0	0:00:13.761	0	0:00:15.080	0
																																	0:00:14.607	0	0:00:09.881	0	0:00:13.819	0	0:00:15.190	0
																																	0:00:14.734	0	0:00:09.953	0	0:00:13.857	0	0:00:15.358	0
																																	0:00:14.741	0	0:00:09.990	0	0:00:13.941	0		
																																	0:00:14.741	0	0:00:10.012	0	0:00:14.002	0		
																																	0:00:14.822	0	0:00:10.023	0	0:00:14.029	0		
																																	0:00:15.009	0	0:00:10.040	0	0:00:14.212	0		
																																	0:00:15.039	0	0:00:10.090	0	0:00:14.283	0		
																																	0:00:15.180	0	0:00:10.124	0	0:00:14.316	0		
																																	0:00:15.198	0	0:00:10.140	0	0:00:14.326	0		
																																	0:00:15.199	0	0:00:10.166	0	0:00:14.394	0		
																																	0:00:15.293	0	0:00:10.196	0	0:00:14.543	0		
																																	0:00:15.389	0	0:00:10.203	0	0:00:14.599	0		
																																			0:00:10.312	0	0:00:14.663	0		
																																			0:00:10.354	0	0:00:14.775	0		
																																			0:00:10.432	0	0:00:14.888	0		
																																			0:00:10.449	0	0:00:14.965	0		
																																			0:00:10.463	0	0:00:14.994	0		
																																			0:00:10.590	0	0:00:15.029	0		
																																			0:00:10.601	0	0:00:15.078	0		
																																			0:00:10.608	0	0:00:15.140	0		
																																			0:00:10.617	0	0:00:15.160	0		
																																			0:00:10.677	0	0:00:15.160	0		
																																			0:00:10.687	0	0:00:15.292	0		
																																			0:00:10.687	0	0:00:15.373	0		
																																			0:00:10.787	0				
																																			0:00:10.788	0				
																																			0:00:10.791	0				
																																			0:00:10.937	0				
																																			0:00:10.967	0				
																																			0:00:10.977	0				
																																			0:00:11.003	0				
																																			0:00:11.031	0				
																																			0:00:11.056	0				
																																			0:00:11.075	0				
																																			0:00:11.106	0				
																																			0:00:11.126	0				
																																			0:00:11.166	0				
																																			0:00:11.177	0				
																																			0:00:11.200	0				
																																			0:00:11.214	0				
																																			0:00:11.277	0				
																																			0:00:11.357	0				
																																			0:00:11.364	0				
																																			0:00:11.385	0				
																																			0:00:11.423	0				
																																			0:00:11.481	0				
																																			0:00:11.508	0				
																																			0:00:11.516	0				
																																			0:00:11.531	0				
																																			0:00:11.537	0				
																																			0:00:11.601	0				
																																			0:00:11.670	0				
																																			0:00:11.695	0				
																																			0:00:11.703	0				
																																			0:00:11.760	0				
																																			0:00:11.765	0				
																																			0:00:11.838	0				
																																			0:00:11.860	0				
																																			0:00:11.867	0				
																																			0:00:11.882	0				
																																			0:00:11.882	0				
																																			0:00:11.909	0				
																																			0:00:11.931	0				
																																			0:00:11.931	0				
																																			0:00:11.960	0				
																																			0:00:12.012	0				
																																			0:00:12.021	0				
																																			0:00:12.034	0				
																																			0:00:12.038	0				
																																			0:00:12.098	0				
																																			0:00:12.151	0				
																																			0:00:12.166	0				
																																			0:00:12.220	0				
																																			0:00:12.344	0				
																																			0:00:12.372	0				
																																			0:00:12.372	0				
																																			0:00:12.383	0				
																																			0:00:12.470	0				
																																			0:00:12.492	0				
																																			0:00:12.528	0				
																																			0:00:12.577	0				
																																			0:00:12.608	0				
																																			0:00:12.615	0				
																																			0:00:12.627	0				
																																			0:00:12.667	0				
																																			0:00:12.681	0				
																																			0:00:12.704	0				
																																			0:00:12.704	0				
																																			0:00:12.711	0				
																																			0:00:12.759	0				
																																			0:00:12.759	0				
																																			0:00:12.788	0				
																																			0:00:12.803	0				
																																			0:00:12.814	0				
																																			0:00:12.819	0				
																																			0:00:12.828	0				
																																			0:00:12.865	0				
																																			0:00:12.884	0				
																																			0:00:12.924	0				
																																			0:00:12.938	0				
																																			0:00:12.938	0				
																																			0:00:12.955	0				
																																			0:00:13.040	0				
																																			0:00:13.086	0				
																																			0:00:13.091	0				
																																			0:00:13.104	0				
																																			0:00:13.215	0				
																																			0:00:13.293	0				
																																			0:00:13.300	0				
																																			0:00:13.311	0				
																																			0:00:13.341	0				
																																			0:00:13.342	0				
																																			0:00:13.456	0				
																																			0:00:13.465	0				
																																			0:00:13.602	0				
																																			0:00:13.611	0				
																																			0:00:13.754	0				
																																			0:00:13.878	0				
																																			0:00:13.911	0				
																																			0:00:14.130	0				
																																			0:00:14.154	0				
																																			0:00:14.203	0				
																																			0:00:14.209	0				
																																			0:00:14.216	0				
																																			0:00:14.331	0				
																																			0:00:14.346	0				
																																			0:00:14.349	0				
																																			0:00:14.381	0				
																																			0:00:14.463	0				
																																			0:00:14.479	0				
																																			0:00:14.541	0				
																																			0:00:14.602	0				
																																			0:00:14.634	0				
																																			0:00:14.691	0				
																																			0:00:14.745	0				
																																			0:00:14.792	0				
																																			0:00:14.801	0				
																																			0:00:14.824	0				
																																			0:00:14.836	0				
																																			0:00:14.878	0				
																																			0:00:14.904	0				
																																			0:00:14.935	0				
																																			0:00:14.961	0				
																																			0:00:15.004	0				
																																			0:00:15.018	0				
																																			0:00:15.102	0				
																																			0:00:15.117	0				
																																			0:00:15.306	0				
																																			0:00:15.315	0				
																																			0:00:15.327	0				
																																			0:00:15.341	0				
																																			0:00:15.352	0				
																																			0:00:15.374	0				
																																			0:00:15.389	0				
																																			0:00:15.400	0				
