Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
212431311	4000		0	0	0	1000	0	0	0	0	212431311	212431311	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36482472.6	1
214431330	4000		0	0	0	1000	0	0	0	0	214431330	214431330	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36495768.85	0
216429921	4000		0	0	0	1000	0	0	0	0	216429921	216429921	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36510943.85	1
218428986	4000		0	0	0	1000	0	0	0	0	218428986	218428986	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36516197.6	1
220429479	4000		0	0	0	1000	0	0	0	0	220429479	220429479	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36585753.04	1
222429331	4000		0	0	0	1000	0	0	0	0	222429331	222429331	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36593628.04	1
224429419	4000		0	0	0	1000	0	0	0	0	224429419	224429419	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36606114.29	1
226429820	4000		0	0	0	1000	0	0	0	0	226429820	226429820	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36618643.04	1
228429423	4000		0	0	0	1000	0	0	0	0	228429423	228429423	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36628364.29	1
230429684	4000		0	0	0	1000	0	0	0	0	230429684	230429684	0	1	C:\DataWave\Sounds\bat_HRstrings\app1_4.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36630728.04	1
