Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
98888281	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	98888281	98888281	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9364752.714	1
99887888	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	99887888	99887888	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9376452.714	1
100888171	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	100888171	100888171	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9674366.293	1
101888477	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	101888477	101888477	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9781791.293	1
102888005	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	102888005	102888005	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9844666.293	1
103887805	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	103887805	103887805	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9920710.582	1
104887942	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	104887942	104887942	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10216779.87	1
105887599	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	105887599	105887599	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10263254.87	1
106888169	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	106888169	106888169	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10283654.87	1
107887655	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	107887655	107887655	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10338804.87	1
108888090	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	108888090	108888090	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10596024.16	1
109887464	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	109887464	109887464	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10777568.45	1
110888133	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	110888133	110888133	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10853893.45	1
111887920	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	111887920	111887920	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10907562.74	1
